pid,front_color,back_color
199600953,주황,
199800835,하양,
200000999,하양,
197800154,파랑,
199500537,파랑,파랑
199900626,하양,
199800836,초록,
200300494,초록,
200300496,주황,주황
200200582,하양,노랑
200001003,빨강,빨강
198700647,분홍,
200500669,초록,
200100713,하양,
200400683,하양,
200300502,주황,
200401005,초록,초록
199900915,하양,
200100711,하양,
198600410,남색,하양
200300503,빨강,노랑
200400668,초록,초록
199301063,노랑,
200401062,하양,
200401069,하양,
200500990,하양,
200000996,하양,
198100144,하양,
200200566,하양,
199701232,연두,
198600407,분홍,
200100921,자주,노랑
199900647,하양,
199900664,노랑,
198700493,하양,하양
198700494,주황,
199100164,하양,
199801068,하양,
200500992,하양,
200500993,하양,하양
200500995,하양,
200500997,주황,
200605397,하양,
198700495,초록,하양
199600917,하양,
198900580,갈색,
199600669,하양,
199100998,초록,하양
199301067,주황,
200501051,하양,
199100708,하양,
199200704,하양,
199400580,분홍,
199400581,노랑,
199400583,하양,
200300808,주황,
199600683,주황,
200701738,하양,
200300786,갈색,
199201062,갈색,
198000246,주황,
199701227,하양,
199801240,분홍,
200300979,갈색,
200401294,갈색,
200401295,갈색,
200300806,파랑,하양
200501032,하양,
200501034,노랑,
200101076,파랑,하양
200501206,노랑,
200501208,분홍,
200101095,노랑,노랑
200201023,갈색,
200300957,갈색,
200001489,하양,
200001493,연두,하양
200807391,분홍,
199802344,초록,초록
200401319,노랑,
200501221,갈색,
200501232,빨강,빨강
199701225,갈색,분홍
200300797,파랑,
200300801,주황,
199000990,초록,초록
198300461,초록,하양
198300462,주황,노랑
198400431,하양,
199901497,분홍,하양
200001497,연두,
199801258,하양,
199301237,하양,
200200833,주황,
200200833,분홍,
200200833,보라,
200300976,갈색,
199600977,남색,하양
199701224,"하양, 갈색",하양
199600978,갈색,
200300785,초록,연두
200401104,초록,
200604236,초록,
199301235,청록,
198501811,하양,
198501812,노랑,
198501813,파랑,
198501814,하양,
198501816,노랑,
198501817,노랑,
200101068,빨강,하양
198500559,파랑,
198702209,하양,
198702210,주황,
200401117,하양,
199301089,초록,
198700641,하양,
199000925,하양,
200501067,하양,하양
200401145,주황,
200500805,주황,
200500806,파랑,
200400825,노랑,
200500809,하양,
199400798,남색,하양
199200768,하양,
200500815,하양,
199500632,하양,
200600221,하양,
200600222,하양,
200604228,노랑,
200301736,하양,
200502110,하양,
199201106,하양,
199701234,빨강,
200401122,갈색,
200401123,하양,
200400816,주황,
200400817,하양,
200702389,하양,
199801113,주황,
199500821,주황,
197500248,하양,
197200091,주황,노랑
199700693,빨강,하양
200807400,하양,
200807400,분홍,
200702391,하양,
200705613,하양,
199701009,하양,
200100931,주황,
199701011,초록,하양
198900704,하양,
199300904,연두,
199701012,보라,하양
200100922,주황,
200200858,주황,
200300814,하양,
199400796,주황,
199100969,하양,
199200928,파랑,
200300824,빨강,
200300603,하양,
199600922,하양,
200400812,하양,
200400813,주황,
200401134,하양,
200501053,하양,
197800212,하양,하양
199901047,파랑,
199901051,하양,
199201154,연두,
200100936,초록,
199500822,초록,
200400821,자주,자주
200400822,갈색,초록
199400682,분홍,
200200663,하양,
200200853,빨강,
200500800,하양,
199900780,갈색,노랑
198300393,하양,
200300598,노랑,노랑
198600307,하양,
199100965,하양,
199100966,하양,
199100967,하양,
199100968,하양,
200300826,하양,
198600470,하양,
200301221,갈색,
199701252,분홍,
199301673,파랑,
199201508,하양,
198900874,분홍,
200808271,하양,
199701255,하양,
199701257,하양,하양
198800788,주황,
199601055,빨강,
200400150,파랑,
200400151,초록,노랑
200400153,분홍,
