pid,shape
198700647,원형
200500669,원형
200100713,원형
200400683,원형
200300502,오각형
200401005,장방형
199900915,장방형
200100711,장방형
198600410,장방형
200300503,장방형
200400668,장방형
199301063,원형
200401062,원형
200401069,장방형
200500990,원형
200000996,원형
198100144,원형
200200566,원형
199701232,장방형
198600407,원형
200100921,장방형
199900647,원형
199900664,타원형
198700493,장방형
198700494,장방형
199100164,원형
199801068,원형
200500992,원형
200500993,장방형
200500995,원형
200500997,타원형
200605397,원형
198700495,장방형
199600917,원형
198900580,타원형
199600669,원형
199100998,장방형
199301067,원형
200501051,원형
199100708,원형
199200704,원형
199400580,원형
199400581,원형
199400583,원형
200300808,타원형
199600683,원형
200701738,타원형
200300786,타원형
199201062,원형
198000246,원형
199701227,타원형
199801240,원형
200300979,장방형
200401294,장방형
200401295,장방형
200300806,장방형
200501032,팔각형
200501034,원형
200101076,장방형
200501206,타원형
200501208,원형
200101095,장방형
200201023,장방형
200300957,장방형
200001489,원형
200001493,장방형
200807391,타원형
199802344,장방형
200401319,기타
200501221,장방형
200501232,장방형
199701225,장방형
200300797,원형
200300801,타원형
199000990,장방형
198300461,장방형
198300462,장방형
198400431,원형
199901497,장방형
200001497,원형
199801258,원형
199301237,원형
200200833,기타
200200833,기타
200200833,기타
200300976,장방형
199600977,장방형
199701224,원형
199600978,장방형
200300785,장방형
200401104,원형
200604236,장방형
199301235,원형
198501811,원형
198501812,원형
198501813,원형
198501814,원형
198501816,원형
198501817,원형
200101068,장방형
198500559,원형
198702209,타원형
198702210,타원형
200401117,원형
199301089,원형
198700641,원형
199000925,원형
200501067,장방형
200401145,타원형
200500805,장방형
200500806,타원형
200400825,기타
200500809,팔각형
199400798,장방형
199200768,원형
200500815,원형
199500632,원형
200600221,원형
200600222,타원형
200604228,원형
200301736,원형
200502110,원형
199201106,원형
199701234,원형
200401122,장방형
200401123,원형
200400816,원형
200400817,원형
200702389,원형
199801113,원형
199500821,원형
197500248,원형
197200091,장방형
199700693,장방형
200807400,원형
200807400,원형
200702391,원형
200705613,타원형
199701009,원형
200100931,원형
199701011,장방형
198900704,원형
199300904,장방형
199701012,장방형
200100922,장방형
200200858,타원형
200300814,원형
199400796,원형
199100969,원형
199200928,원형
200300824,원형
200300603,원형
199600922,원형
200400812,타원형
200400813,원형
200401134,원형
200501053,장방형
197800212,장방형
199901047,원형
199901051,원형
199201154,장방형
200100936,원형
199500822,타원형
200400821,장방형
200400822,장방형
199400682,원형
200200663,원형
200200853,원형
200500800,원형
199900780,장방형
198300393,원형
200300598,장방형
198600307,원형
199100965,원형
199100966,원형
199100967,원형
199100968,원형
200300826,장방형
198600470,원형
200301221,원형
199701252,원형
199301673,원형
199201508,장방형
198900874,원형
200808271,타원형
199701255,장방형
199701257,장방형
198800788,장방형
199601055,장방형
200400150,삼각형
200400151,장방형
200400153,장방형
200500213,장방형
200500215,장방형
200301239,원형
200401756,원형
199301099,장방형
200500216,사각형
200500222,타원형
200500230,원형
199801127,원형
199801128,장방형
198900881,원형
198300475,원형
200500227,장방형
200500231,원형
200101633,원형
200101634,원형
199401165,장방형
199500827,타원형
198900882,원형
198900883,장방형
199701303,장방형
200401712,원형
199801206,장방형
200201347,사각형
199301220,장방형
200401262,장방형
200402529,장방형
199001012,장방형
200401276,원형
199801229,원형
200401747,기타
200401754,원형
200604249,장방형
200300929,장방형
200300932,장방형
199801222,장방형
200001782,원형
199806909,타원형
200009634,원형
200001474,원형
200002939,원형
200002940,원형
200002949,타원형
200301201,타원형
200301216,장방형
200300921,원형
200300923,기타
200401257,장방형
200501168,장방형
200501169,원형
200600251,원형
200200955,장방형
199601095,타원형
200001472,장방형
200001773,원형
199601084,장방형
200301238,원형
200501017,장방형
199901458,장방형
200401304,타원형
200401307,장방형
200401318,장방형
200501215,장방형
198600628,장방형
198700706,장방형
198700707,장방형
199400891,사각형
200200972,장방형
199701347,장방형
199801292,타원형
200101569,장방형
200101575,장방형
199901095,원형
199901096,장방형
199601435,원형
199601437,장방형
200501183,장방형
200501194,원형
200100972,타원형
199801576,장방형
199001070,타원형
200401353,원형
197800293,장방형
200100979,장방형
200401359,원형
200401366,장방형
200401367,원형
200201054,타원형
200301019,장방형
199701413,장방형
200401369,원형
200401370,원형
200100987,타원형
200001931,장방형
198600877,장방형
200501267,원형
200101162,장방형
199701414,원형
200101732,장방형
200605407,장방형
200410945,장방형
198800823,원형
197500274,장방형
199701416,타원형
198801103,장방형
200401373,원형
199101009,원형
198300476,원형
198801114,원형
199001306,타원형
199901076,원형
200501543,원형
198500725,원형
199101431,원형
199701654,장방형
199801296,원형
200401330,장방형
199801298,원형
199201155,장방형
200201042,원형
198800856,장방형
200401332,원형
200501245,원형
199901516,원형
200001814,장방형
197800295,육각형
199701392,장방형
198000301,원형
199701659,원형
198600672,장방형
199901089,원형
199901092,원형
200101581,타원형
200101589,장방형
197500338,장방형
199701408,원형
200101596,장방형
199801137,장방형
198800790,장방형
198600588,장방형
200101152,원형
200501530,장방형
200401699,기타
200201053,원형
199401132,원형
200001805,장방형
200501541,장방형
200604247,원형
199001088,원형
200101554,장방형
200101555,장방형
198300603,장방형
198600903,원형
199500836,장방형
199500842,원형
199500845,원형
197000102,원형
200808277,장방형
198801248,장방형
198700667,원형
198900876,원형
199601484,장방형
200200871,타원형
200501123,원형
200607665,타원형
200607667,원형
197800305,원형
200605403,장방형
199501234,장방형
200100960,장방형
200401151,타원형
200808268,타원형
200501113,장방형
200501119,타원형
200501120,장방형
200600620,타원형
199500830,장방형
197000104,장방형
197400273,원형
199501305,원형
199501306,타원형
200101737,장방형
200201481,원형
200201482,장방형
199801581,원형
199901651,장방형
200201483,장방형
200301301,원형
199601520,타원형
200301304,장방형
200401818,장방형
200401818,장방형
198300605,타원형
200501661,장방형
200807378,타원형
200501788,원형
199501299,원형
200703824,원형
198200397,장방형
200402931,타원형
200600365,타원형
197800308,원형
197800307,원형
200003533,장방형
200703827,원형
200703856,타원형
